Data Series,Market,Region,Country,Import (Million Dollars),Export (Million Dollars)
2003 Dec,Total All Markets,America,Venezuela,0.1,0.3
2003 Dec,Total All Markets,Asia,Afghanistan,0,0
2003 Dec,Total All Markets,Asia,Bahrain,16,5.8
2003 Dec,Total All Markets,Asia,Bangladesh,22.6,39.2
2003 Dec,Total All Markets,Asia,Brunei,22.3,19.1
2003 Dec,Total All Markets,Asia,Cambodia,16.7,16.7
2003 Dec,Total All Markets,Asia,China,1982.9,1146.1
2003 Dec,Total All Markets,Asia,Christmas Island,0,0
2003 Dec,Total All Markets,Asia,Hong Kong,616.5,1284.4
2003 Dec,Total All Markets,Asia,India,368.9,269.8
2003 Dec,Total All Markets,Asia,Indonesia,1268.3,933.4
2003 Dec,Total All Markets,Asia,Iran,143.1,16.1
2003 Dec,Total All Markets,Asia,Iraq,30.1,0
2003 Dec,Total All Markets,Asia,Israel,50.7,12.5
2003 Dec,Total All Markets,Asia,Japan,2737.9,1105.8
2003 Dec,Total All Markets,Asia,Jordan,15.7,1.2
2003 Dec,Total All Markets,Asia,Kazakhstan,0,1
2003 Dec,Total All Markets,Asia,"Korea, Dem Peo Rep Of",0.6,5.1
2003 Dec,Total All Markets,Asia,"Korea, Rep Of",756.9,400.9
2003 Dec,Total All Markets,Asia,Kuwait,297.6,5.3
2003 Dec,Total All Markets,Asia,Lao,0.1,0.3
2003 Dec,Total All Markets,Asia,Lebanon,0,2.2
2003 Dec,Total All Markets,Asia,Macao,1.1,1.4
2003 Dec,Total All Markets,Asia,Malaysia,3375.9,1346.8
2003 Dec,Total All Markets,Asia,Maldives,0.3,5
2003 Dec,Total All Markets,Asia,Mongolia,0,1.2
2003 Dec,Total All Markets,Asia,Myanmar,11.1,57.7
2003 Dec,Total All Markets,Asia,NA,15920.4,8474
2003 Dec,Total All Markets,Asia,Nepal,0.4,2.1
2003 Dec,Total All Markets,Asia,Oman,1.4,9
2003 Dec,Total All Markets,Asia,Other Markets Asia,0.5,1.2
2003 Dec,Total All Markets,Asia,Pakistan,15,31.7
2003 Dec,Total All Markets,Asia,Philippines,523.2,289
2003 Dec,Total All Markets,Asia,Qatar,189.8,9.4
2003 Dec,Total All Markets,Asia,Saudi Arabia,775.2,22.7
2003 Dec,Total All Markets,Asia,Sri Lanka,7.8,38.5
2003 Dec,Total All Markets,Asia,Syria,0.6,1.1
2003 Dec,Total All Markets,Asia,Taiwan,1195.9,596
2003 Dec,Total All Markets,Asia,Thailand,939.9,451.5
2003 Dec,Total All Markets,Asia,Turkiye,14.8,8.7
2003 Dec,Total All Markets,Asia,United Arab Emirates,323.8,94
2003 Dec,Total All Markets,Asia,Viet Nam,119,239.2
2003 Dec,Total All Markets,Asia,Yemen,77.7,2.8
2003 Dec,Total All Markets,Europe,Austria,72.6,14.3
2003 Dec,Total All Markets,Europe,Belarus,0.5,0
2003 Dec,Total All Markets,Europe,Belgium,78.6,37.6
2003 Dec,Total All Markets,Europe,Bulgaria,25.5,0.3
2003 Dec,Total All Markets,Europe,Croatia,1,1.1
2003 Dec,Total All Markets,Europe,Cyprus,0.9,25.7
2003 Dec,Total All Markets,Europe,Czech Rep,23.3,8.4
2003 Dec,Total All Markets,Europe,Denmark,50.1,21.6
2003 Dec,Total All Markets,Europe,Estonia,0.4,1.7
2003 Dec,Total All Markets,Europe,Finland,72.6,39.7
2003 Dec,Total All Markets,Europe,France,400.2,193.4
2003 Dec,Total All Markets,Europe,Germany,798.7,378.9
